92,2,1,1,2,CLASS-1
10,2,1,3,2,CLASS-2
83,3,1,4,1,NEITHER
61,2,4,2,2,NEITHER
107,1,1,3,4,NEITHER
113,1,1,3,2,CLASS-2
80,3,1,3,2,CLASS-2
125,3,4,2,4,NEITHER
36,2,2,1,1,CLASS-1
105,3,2,1,1,CLASS-1
81,1,2,1,1,CLASS-1
122,2,2,3,4,NEITHER
94,1,1,2,1,CLASS-1
60,2,1,2,2,CLASS-2
8,2,4,1,4,NEITHER
20,1,1,3,3,CLASS-1
85,3,2,1,2,CLASS-2
50,1,2,1,1,CLASS-1
68,3,3,2,1,CLASS-1
89,3,1,3,2,CLASS-1
52,1,2,2,1,CLASS-2
19,3,2,1,3,CLASS-1
118,2,1,2,1,CLASS-1
16,3,2,1,3,CLASS-1
91,2,3,2,1,CLASS-1
79,3,2,2,1,CLASS-2
23,3,2,1,3,CLASS-2
25,2,1,2,2,CLASS-2
30,1,1,3,2,CLASS-1
57,3,2,1,1,CLASS-1
3,1,4,1,1,NEITHER
114,2,2,1,3,CLASS-1
37,1,2,1,3,CLASS-2
66,1,1,1,2,CLASS-1
110,2,4,3,1,NEITHER
116,3,1,2,2,CLASS-2
88,1,1,2,2,CLASS-2
77,3,2,2,1,CLASS-2
82,1,2,1,2,CLASS-2
64,3,4,3,2,NEITHER
84,2,2,2,1,CLASS-2
86,2,2,1,2,CLASS-2
6,3,2,1,3,CLASS-2
74,3,2,1,1,CLASS-1
106,3,1,2,1,CLASS-1
115,1,2,1,3,CLASS-2
130,2,1,1,2,CLASS-1
54,1,1,1,2,CLASS-1
33,1,2,2,3,CLASS-2
67,3,3,1,1,CLASS-1
69,3,3,3,1,CLASS-1
39,3,2,1,2,CLASS-2
53,3,2,1,2,CLASS-2
127,3,1,2,1,CLASS-1
96,1,1,1,2,CLASS-1
121,2,1,3,2,CLASS-1
70,2,2,2,1,CLASS-2
123,2,1,2,1,CLASS-1
42,2,2,1,3,CLASS-1
78,2,1,2,2,CLASS-2
11,1,2,4,2,NEITHER
129,2,2,1,2,CLASS-2
128,1,1,2,4,NEITHER
5,1,3,2,1,CLASS-1
4,2,4,4,2,NEITHER
95,2,3,2,1,CLASS-1
73,3,1,2,2,CLASS-2
26,1,1,2,2,CLASS-2
48,1,3,2,4,NEITHER
104,1,1,2,2,CLASS-2
102,3,1,4,2,NEITHER
2,2,1,3,2,CLASS-2
41,1,1,3,2,CLASS-2
119,3,1,3,2,CLASS-1
75,1,2,4,4,NEITHER
47,1,4,2,1,NEITHER
93,2,1,2,1,CLASS-1
46,3,4,1,2,NEITHER
132,2,2,1,1,CLASS-1
108,1,1,2,1,CLASS-1
18,2,2,4,3,NEITHER
62,3,1,2,2,CLASS-2
120,1,1,3,2,CLASS-1
35,1,2,1,3,CLASS-1
27,1,4,4,1,NEITHER
98,3,3,3,2,CLASS-2
109,2,2,1,3,CLASS-2
31,3,3,2,1,CLASS-2
112,1,1,1,3,CLASS-1
34,2,2,1,2,CLASS-2
63,2,2,2,1,CLASS-2
65,2,3,2,3,CLASS-2
117,1,3,2,1,CLASS-2
56,2,2,1,2,CLASS-2
59,1,1,1,2,CLASS-1
76,3,2,2,1,CLASS-2
1,3,2,1,1,CLASS-1
28,1,1,2,1,CLASS-1
22,3,1,4,4,NEITHER
29,3,3,2,1,CLASS-2
111,2,3,2,1,CLASS-2
97,2,1,3,1,CLASS-1
49,1,2,1,2,CLASS-2
51,3,1,1,2,CLASS-1
87,2,2,4,1,NEITHER
58,1,2,2,1,CLASS-2
32,2,3,2,1,CLASS-2
72,2,2,1,4,NEITHER
55,1,4,2,3,NEITHER
103,2,2,1,1,CLASS-1
7,1,2,1,1,CLASS-1
99,2,2,3,2,CLASS-2
15,1,3,2,1,CLASS-1
126,3,1,2,1,CLASS-1
45,3,1,1,2,CLASS-1
101,3,3,1,4,NEITHER
100,2,3,4,1,NEITHER
24,1,2,3,3,CLASS-2
124,3,3,2,2,CLASS-2
13,3,3,4,2,NEITHER
14,1,2,2,1,CLASS-2
38,2,1,1,4,NEITHER
71,3,1,2,2,CLASS-2
43,3,2,2,4,NEITHER
131,2,3,1,3,CLASS-1
17,2,1,1,2,CLASS-1
12,3,4,1,3,NEITHER
44,1,1,4,3,NEITHER
40,2,1,2,1,CLASS-1
90,1,2,1,2,CLASS-2
21,1,2,2,1,CLASS-2
9,3,1,1,2,CLASS-1
